system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
0,0.0,26.0,20.0,14.025219917297363,20.0,18.57208377350686,110.08607844719722,2255.696044921875,42.0,0.7773006558418274,3.0,1.0,0.7287724274491038,14.059710502624512,45.0,"{""type"":""Point"",""coordinates"":[110.08810890232961,18.574191833818272]}"
1,0.0,23.0,119.0,20.54909324645996,54.0,19.259294965858295,110.07709529435607,2685.979248046875,48.0,0.9256881475448608,3.0,2.0,0.7354318356587096,13.826116561889648,38.0,"{""type"":""Point"",""coordinates"":[110.0762289804326,19.25878917967303]}"
2,0.0,29.0,782.0,41.1883544921875,660.0,19.115564520399175,109.21022104518073,1927.4967041015625,47.0,14.568042755126953,9.0,2.0,0.5636109223432144,10.527397155761719,39.0,"{""type"":""Point"",""coordinates"":[109.21153321873493,19.117709496098666]}"
3,0.0,32.0,399.0,38.98929977416992,202.0,19.052682450510808,109.40785040768702,2081.326171875,36.0,7.013795375823975,4.0,2.0,0.5988526496024311,11.607999801635742,42.0,"{""type"":""Point"",""coordinates"":[109.4061604447415,19.052249474915737]}"
4,0.0,24.0,28.0,7.218321323394775,27.0,19.784809407068217,110.84066328585766,1854.6361083984375,54.0,0.6697322726249695,5.0,4.0,0.7034482008753528,12.989968299865723,44.0,"{""type"":""Point"",""coordinates"":[110.83980343007184,19.78300707530415]}"
5,0.0,24.0,35.0,17.07023811340332,35.0,18.343013376056383,109.52463139462253,2018.67333984375,54.0,1.763452172279358,3.0,0.0,0.711214964625927,13.23155689239502,41.0,"{""type"":""Point"",""coordinates"":[109.52405400224609,18.34376687831744]}"
6,0.0,24.0,109.0,16.70540428161621,40.0,19.33116018858786,110.18489312845037,2711.73974609375,49.0,0.573488712310791,3.0,3.0,0.7533284565472207,14.311075210571289,38.0,"{""type"":""Point"",""coordinates"":[110.18299536923713,19.332992612559522]}"
7,0.0,31.0,319.0,36.85906982421875,169.0,19.232345507334713,109.5964966173521,2303.035888671875,38.0,4.545291423797607,4.0,2.0,0.6373784963360277,12.102145195007324,39.0,"{""type"":""Point"",""coordinates"":[109.59548037989083,19.231223206054857]}"
8,0.0,24.0,142.0,48.417476654052734,68.0,19.367092799952644,109.86599120258796,2610.899169921875,47.0,4.330911636352539,4.0,3.0,0.7001518891573417,12.26711654663086,39.0,"{""type"":""Point"",""coordinates"":[109.86433697794055,19.368361250923613]}"
9,0.0,23.0,123.0,18.701740264892578,58.0,19.26827811869949,110.09057002361783,2685.979248046875,47.0,0.7491510510444641,3.0,2.0,0.7271424503327092,14.03529167175293,39.0,"{""type"":""Point"",""coordinates"":[110.08980111669506,19.26937602124172]}"
